time,logger,level,message,exception
2011-08-06 14:05:42.3341,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1026', update: False, ",
2011-08-06 14:05:42.3341,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1027 and etag ,
2011-08-06 14:05:42.3341,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1027', update: False, ",
2011-08-06 14:05:42.3341,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1028 and etag ,
2011-08-06 14:05:42.3521,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1028', update: False, ",
2011-08-06 14:05:42.3521,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1029 and etag ,
2011-08-06 14:05:42.3671,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1029', update: False, ",
2011-08-06 14:05:42.3671,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1030 and etag ,
2011-08-06 14:05:42.3671,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1030', update: False, ",
2011-08-06 14:05:42.3671,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1031 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1031', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1032 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1032', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1033 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1033', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1034 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1034', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1035 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1035', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1036 and etag ,
2011-08-06 14:05:42.3821,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1036', update: False, ",
2011-08-06 14:05:42.3821,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1037 and etag ,
2011-08-06 14:05:42.3981,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1037', update: False, ",
2011-08-06 14:05:42.3981,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1038 and etag ,
2011-08-06 14:05:42.3981,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1038', update: False, ",
2011-08-06 14:05:42.3981,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1039 and etag ,
2011-08-06 14:05:42.3981,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1039', update: False, ",
2011-08-06 14:05:42.3981,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1040 and etag ,
2011-08-06 14:05:42.3981,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1040', update: False, ",
2011-08-06 14:05:42.3981,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1041 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1041', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1042 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1042', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1043 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1043', update: False, ",
2011-08-06 14:05:42.4151,Raven.Database.DocumentDatabase,Debug,Putting a document with key: candidates/1044 and etag ,
2011-08-06 14:05:42.4151,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'candidates/1044', update: False, ",
